index,tittle,genre,overview,director,cast
693,Kadaisi Ulaga Por,War Drama,A dystopian tale of survival and rebellion.,Hiphop Tamizha,"Hiphop Tamizha, Anagha, Harish Peradi"
694,Meiyazhagan,Drama,Two brothers reconnect after years of estrangement.,C Prem Kumar,"Karthi, Arvind Swamy, Sri Divya"
695,Petta Rap,Musical Comedy,A rapper’s journey to fame with comedic twists.,SJ Sinu,"Prabhu Deva, Vedhika, Vivek Prasanna"
696,Hindustani 2,Action Thriller,A vigilante fights corruption in a futuristic India.,Shankar,"Kamal Haasan, Kajal Aggarwal, Siddharth"
697,Pavithra 1994,Action,A young man’s quest for justice in a crime-ridden city.,Kishore,"Rohit, Nandini, Vinod Kishan"
698,Lal Salaam,Sports Drama,A cricketer’s rivalry reflects deeper social tensions.,Aishwarya Rajinikanth,"Vishnu Vishal, Vikranth, Rajinikanth"
699,Vettaiyan,Action,A cop takes on a criminal empire with unorthodox methods.,TJ Gnanavel,"Rajinikanth, Fahadh Faasil, Rana Daggubati, Anirudh"
700,Kanguva,Historical Action,A warrior’s epic battle against a tyrannical ruler.,Siva,"Suriya, Disha Patani, Bobby Deol, Yogi Babu"
701,Indian 2,Action Thriller,A freedom fighter returns to combat corruption.,Shankar,"Kamal Haasan, Siddharth, Kajal Aggarwal"
702,Thangalaan,Historical Action,A tribal leader fights against colonial oppression.,Pa Ranjith,"Vikram, Parvathy Thiruvothu, Malavika Mohanan"
703,Boat,Thriller,A group of refugees face survival challenges on a perilous boat journey.,Chimbu Deven,"Yogi Babu, Gouri Kishan, MS Bhaskar"
704,Democracy,Political Drama,A journalist uncovers a political scandal.,Vinoth Kumar,"Santhanam, Mu Ramaswamy, Thangadurai"
705,Oru Nodi,Crime Thriller,A cop investigates a murder case with unexpected twists.,B Manivarman,"Thaman Kumar, Vimala Raman, Srushti Dange"
706,Good Bad Ugly,Action Thriller,A vigilante cop takes on a criminal syndicate with unorthodox methods.,Magizh Thirumeni,"Ajith Kumar, Trisha Krishnan, Arjun Das, Prabhu Ganesan, Simran"
707,Retro,Romantic Drama,"Two lovers separated by circumstances reunite through a tragic murder, exploring love and fate.",Karthik Subbaraj,"Suriya, Pooja Hegde, Jayaram, Joju George, Nassar"
708,Vidaamuyarchi,Action Thriller,"A man’s relentless quest for vengeance shapes his life, battling a dangerous foe.",Magizh Thirumeni,"Ajith Kumar, Trisha Krishnan, Arjun Sarja, Regina Cassandra, Arav"
709,Thug Life,Action Drama,"A gangster seeks a peaceful life after vowing to his wife, but his past pulls him back.",Mani Ratnam,"Kamal Haasan, Jayam Ravi, Trisha Krishnan, Dulquer Salmaan, Abhirami"
710,Kadhalikka Neramillai,Romantic Comedy,A quirky love story unfolds amidst misunderstandings and comedic chaos.,Pradeep Ranganathan,"Pradeep Ranganathan, SJ Suryah, Krithi Shetty, Yogi Babu"
711,Vanangaan,Drama,"A folk singer from the Paanan caste escapes slavery and discovers an ancient mansion, altering his destiny.",Bala,"Arun Vijay, Roshni Prakash, Samuthirakani, Mysskin"
712,Madha Gaja Raja,Action Comedy,A man’s comedic rise to power in a chaotic village setting.,Sundar C,"Vishal, Anjali, Varalaxmi Sarathkumar, Santhanam"
713,Veera Dheera Sooran: Part 2,Action Drama,A provision store owner gets entangled in a dangerous crime network with a mysterious mission.,SU Arun Kumar,"Vikram, SJ Suryah, Dushara Vijayan, Suraj Venjaramoodu"
714,Kubera,Drama,"A disillusioned chartered accountant enlists beggars to impersonate businessmen, leading to chaos.",Sekhar Kammula,"Dhanush, Rashmika Mandanna, Nagarjuna Akkineni, Jim Sarbh"
715,Dragon,Comedy Drama,A coming-of-age tale of a young man navigating life’s challenges with humor.,Ashwath Marimuthu,"Sasikumar, Simran, Yogi Babu, MS Bhaskar, Ramesh Thilak"
716,Ace,Action,A high-energy commercial entertainer with uneven tones but strong action sequences.,Lokesh Kanagaraj,"Aamir Khan, Rajinikanth, Nagarjuna Akkineni"
717,Maargan,Crime Thriller,A competent crime thriller following a detective’s pursuit of justice in a murder case.,Nanda Periyasamy,"Jaseena, Ananya, Bharathiraja"
718,Sabdham,Horror Thriller,A group faces supernatural horrors after a mysterious event.,Arivazhagan Venkatachalam,"Aadhi Pinisetty, Lakshmi Menon, Simran, Laila, Redin Kingsley"
719,Nilavuku Enmel Ennadi Kobam,Comedy Drama,"A mix of comedy, romance, and drama centered on youthful aspirations.",Dhanush,"Anikha Surendran, Priya Prakash Varrier, Mathew Thomas, Venkatesh Menon"
720,Ramam Raghavam,Drama Thriller,"A son’s betrayal of his honest father, a government official, leads to deceit and redemption.",Dhanraj Koranani,"Samuthirakani, Dhanraj, Harish Uthaman, Satya"
721,Fire 2025,Romantic Crime Thriller,"An inspector investigates the mysterious disappearance of a physiotherapist, uncovering secrets.",JSK Satish Kumar,"Karthi, Krithi Shetty, Sathyaraj, Anandaraj, Rajkiran"
722,Oho Enthan Baby,Romantic Comedy,A lighthearted rom-com about a young couple’s quirky journey.,Sathish Paramasivam,"Sathish, Priyanka Sharma, Yogi Babu, Redin Kingsley"
723,Desingu Raja 2,Action Comedy,A sequel filled with swagger and comedic energy in a rural setting.,Ezhil,"Vimal, Soori, Anjali, Motta Rajendran"
724,Mrs and Mr,Comedy Drama,A newlywed couple navigates quirky challenges and domestic drama.,Vignesh Srikanth,"Vijay Antony, Mahima Nambiar, Yogi Babu, VTV Ganesh"
725,Maayakoothu,Fantasy Thriller,A tale of myth and mystery with supernatural elements.,Arjunan Jr.,"Yogi Babu, Koushik Mahata, Vikkals Vikram, Nadia Moidu"
726,Thottram,Thriller,A gripping thriller following a trail of suspense and danger.,K Thirugnanam,"Dushyanth Jayaprakash, Radha Ravi, Charan Raj, Maheshwari Chanakyan"
727,Superman (Tamil Dub),Action,A superhero battles cosmic threats to save Earth.,James Gunn,"David Corenswet, Rachel Brosnahan, Nicholas Hoult, Isabel Merced"
728,Game Changer (Tamil Dub),Political Action,A political reformer fights corruption in a high-stakes battle.,Shankar,"Ram Charan, Kiara Advani, Anjali, SJ Suryah"
729,Madraskaaran,Action Drama,A young man rises against societal injustices in Chennai.,Vaali Mohan Das,"Sasikumar, Lijomol Jose, Malavika Avinash, Ramesh Khanna"
730,Nesippaya,Drama,A man’s emotional journey to reconnect with his family.,Vishnuvardhan,"Siddharth, R Sarathkumar, Devayani, Yogi Babu"
731,Tharunam,Romantic Drama,A CRPF officer and an entrepreneur’s chance encounter leads to love and challenges.,S Prem Anand,"Naveen Chandra, Abhirami, Dileepan, Aadukalam Naren"
732,Good Day,Drama,A drunk man’s journey toward redemption with dark humor.,Rajeshwar Kaliswamy,"Prasanna Balachandran, Jensan Diwakar, Kovai Gurumoorthy"
733,Phoenix,Action,A young lead establishes his action credentials in a commercial entertainer.,Pa Ranjith,"Vaibhav, Sunil, Bala Saravanan, Redin Kingsley"
734,Paranthu Po,Family Drama,A father and child navigate life’s small adventures with emotional depth.,Abishan Jeevinth,"Yogi Babu, MS Bhaskar, Kamalesh"
735,DNA,Crime Action,A cop investigates a serial killing case involving young girls and a burning drug.,Nelson Venkatesan,"Atharvaa Murali, Nimisha Sajayan, RJ Ramesh Thilak"
736,Aghathiyaa,Fantasy Thriller,A climactic showdown with motion-capture animation explores fantasy aspirations.,Lokesh Ajls,"Naveen Chandra, Abhirami, Reyaa"
737,Train,Thriller,A man uncovers a conspiracy on a train journey.,Mysskin,"Vijay Sethupathi, Rukmini Vasanth, Yogi Babu, Divya Pillai"
738,Idly Kadai,Drama,A man’s simple life running an idly shop leads to unexpected challenges.,Sundar C,"Dhanush, Shalini Pandey, Prakash Raj, Sathyaraj"
739,Paarasiga Raja,Action,A warrior rises to protect his kingdom from invaders.,Sundar C,"Suriya, Andrea Jeremiah, Koushik Mahata, Ameer Sultan"
740,Bun Butter Jam,Comedy,A comedic tale of culinary mishaps in a small town.,Vignesh Karthick,"Yogi Babu, Vedhika, Inigo Prabhakaran, Chandini Tamilarasan"
741,Yaadhum Ariyaan,Drama,A man’s quest for identity reconnects him with his roots.,Nalan Kumarasamy,"Vijay Sethupathi, Nithya Menen, Yogi Babu, Roshini Haripriyan"
742,Achamillai Achamillai,Political Drama,A politician fights against systemic corruption.,H Vinoth,"Arun Vijay, Ashok Selvan, Rajkiran, Brigida Saga"
743,Seetha Payana,Romantic Drama,A couple’s love story faces societal and familial obstacles.,Vetri Maaran,"Sivakarthikeyan, Sai Pallavi, Bhuvan Arora"
744,Kallapart,Action Thriller,A cop takes on a smuggling ring in a port city.,Karthik G Krish,"Arvind Swami, Regina Cassandra, Anjali"
745,The Verdict,Crime Drama,A courtroom drama shifts to human duplicity and justice.,RJ Balaji,"Trisha Krishnan, Suriya, Yogi Babu"
746,Tourist Family,Comedy Drama,A family’s vacation turns into a comedic adventure.,Venkata Krishna Roganath,"Jiiva, Arjun Sarja, Raashii Khanna, Yogi Babu"
747,DD Next Level,Action,A vigilante’s mission to clean up a crime-ridden city.,K Thirugnanam,"Shaam, Nizhalgal Ravi, Aroul D Shankar, Jeeva Ravi"
748,Gangers,Action,A gang leader adopts a young boy saved during a gang war.,P Aarumugakumar,"Vijay Sethupathi, Rukmini Vasanth, Yogi Babu"
749,Bottle Radha,Drama,An alcoholic mason’s journey to recovery after rehab.,Pa Ranjith,"Guru Somasundaram, Sanchana Natarajan, John Vijay"
750,MGR Magan 2,Comedy Drama,A farmer’s son navigates village politics with humor.,Ponram,"Sasikumar, Sathyaraj, Samuthirakani, Saranya Ponvannan"
751,Vaa Vaathiyaar,Action Drama,A teacher fights against corruption in a rural school.,Nalan Kumarasamy,"Karthi, Krithi Shetty, Sathyaraj, Anandaraj"
752,Empuraan (Tamil Dub),Action Thriller,A crime lord’s empire faces new threats.,Prithviraj Sukumaran,"Mohanlal, Prithviraj Sukumaran, Manju Warrier"
753,SK23,Action,A young man’s rise in a crime syndicate.,AR Murugadoss,"Sivakarthikeyan, Rukmini Vasanth, Biju Menon"
754,Suriya 44,Action Drama,A man confronts his past to protect his family.,Karthik Subbaraj,"Suriya, Pooja Hegde, Jayaram, Joju George"
755,Sardar 2,Action Spy Thriller,A spy’s mission to thwart a global conspiracy.,PS Mithran,"Karthi, Raashi Khanna, Rajisha Vijayan"
756,Thalapathy 69,Action Drama,A man’s final battle before entering politics.,H Vinoth,"Vijay, Pooja Hegde, Bobby Deol, Gautham Menon"
757,Coolie,Action Thriller,A retired cop takes on a smuggling empire.,Lokesh Kanagaraj,"Rajinikanth, Nagarjuna Akkineni, Soubin Shahir"
758,Maaya One (Tamil Dub),Sci-Fi Action,A scientist battles alien forces to save humanity.,CV Kumar,"Sundeep Kishan, Lavanya Tripathi, Akanksha Puri"
759,Freedom,Historical Drama,A revolutionary’s fight against colonial oppression.,Mani Ratnam,"Kamal Haasan, Jayam Ravi, Dulquer Salmaan, Trisha Krishnan"
760,Mr Zoo Keeper,Comedy,A zookeeper’s comedic misadventures with animals.,J Senthil Kumar,"Vijay Sethupathi, Rukmini Vasanth, Yogi Babu"
761,Narivetta,Political Drama,A politician uncovers a conspiracy threatening his career.,K Thirugnanam,"Tovino Thomas, Losliya Mariyanesan, Nanditha Sreekumar"
762,Paramasivan Fathima,Drama,A woman’s journey of faith and redemption.,S Prem Anand,"Soori, Aishwarya Lekshmi, Rajkiran, Swasika"
763,Gajarama,Action,A village youth fights against local goons.,Arjunan Jr.,"Yogi Babu, Koushik Mahata, Harish Kalyan, Ivana"
764,Jagamerigina Satyam,Drama,A man’s quest for truth in a corrupt society.,K Thirugnanam,"Dushyanth Jayaprakash, Radha Ravi, Charan Raj"
765,Thamizh Desam,Action Drama,A patriotic youth fights for his community’s rights.,Vignesh Raja,"Ashok Selvan, Sarathkumar, Nikhila Vimal"
766,Kaatu Pura,Drama,A tribal family’s struggle against deforestation.,Mari Selvaraj,"Kalaiyarasan, Dhivya Dhuraisamy, Nikhila Vimal"
767,Pudhusa Naan Poranthen,Romantic Comedy,A man’s comedic journey to win his love.,Venkat Prabhu,"Ashok Selvan, Samyuktha Hegde, Riya Suman"
768,Vetri Vizha 2,Action,"A sequel to the classic, a cop hunts a criminal mastermind.",Prabhu Deva,"Prabhu Deva, Meena, Yogi Babu, Karunas"
769,Anbulla Appa,Family Drama,A father and son reconnect after years of estrangement.,Sundar C,"Suriya, Andrea Jeremiah, Koushik Mahata, Ameer Sultan"
770,Kanne Kalaimaane 2,Romantic Drama,A couple navigates societal pressures in a rural setting.,Seenu Ramasamy,"Udhayanidhi Stalin, Aathmika, Yogi Babu"
771,Naanum Rowdy Dhaan 2,Action Comedy,A rowdy’s comedic journey to reform.,Vignesh Shivan,"Vijay Sethupathi, Nayanthara, Samantha"
772,Pudhupettai 2,Action Drama,A gangster’s rise in the Chennai underworld.,Selvaraghavan,"Dhanush, Sneha, Yogi Babu"
773,Sivaji 3D (Re-release),Action Drama,A re-release of the classic tale of a man fighting corruption.,Shankar,"Rajinikanth, Shriya Saran, Vivek, Suman"
774,Thoothukudi Thalapathy,Action,A local leader fights against injustice in Thoothukudi.,Ezhil,"Vijay Antony, Meera Jasmine, Yogi Babu"
775,Kuttram 23 Part 2,Crime Thriller,A cop continues his battle against a crime syndicate.,Arivazhagan,"Arun Vijay, Mahima Nambiar, Vamsi Krishna"
776,Ennai Vittu Pogaathe,Romantic Drama,A man deals with heartbreak and personal growth.,Gautham Menon,"Sivakarthikeyan, Sai Pallavi, Bhuvan Arora"
777,Pisasu 3,Horror,A supernatural entity haunts a family.,Mysskin,"Andrea Jeremiah, Vijay Sethupathi, Rajkumar Pitchumani"
778,Kaadhal Konjam,Romantic Comedy,A quirky tale of young love and misunderstandings.,Anudeep KV,"Harish Kalyan, Ivana, Yogi Babu"
779,Thiruma,Action,A man protects his village from a mining mafia.,Hari,"Arun Vijay, Priya Bhavani Shankar, Samuthirakani"
780,Vaadi Vaasal,Historical Action,A warrior’s battle in ancient Tamil Nadu.,Vetri Maaran,"Suriya, Disha Patani, Yogi Babu"
781,Aaranya Kaandam 2,Crime Thriller,A sequel exploring Chennai’s criminal underworld.,Thiagarajan Kumararaja,"Yogi Babu, Guru Somasundaram, Sampath Raj"
782,Karthikeyan,Action Drama,A man’s fight against corruption in a small town.,Muthaiah,"Sasikumar, Anjali, Samuthirakani"
783,Oru Kalluriyin Kadhai,Romantic Drama,College students navigate love and ambition.,Vignesh Karthick,"Santhosh Prathap, Gayathri, Vinoth Kishan"
784,Mouna Raagam 2,Romantic Drama,A modern take on a classic love story.,Mani Ratnam,"Karthi, Aditi Rao Hydari, Yogi Babu"
785,Thalaimai Seyalagam 2,Political Thriller,A politician’s fight against corruption continues.,Vasanthabalan,"Sriya Reddy, Kishore, Kani Kusruti"
786,Raaja Paarvai,Drama,A visually impaired man’s journey of resilience.,Vignesh Raja,"Ashok Selvan, Nikhila Vimal, Yogi Babu"
787,Koodal Nagar,Action Drama,A man’s rise against local goons in Madurai.,Seenu Ramasamy,"Sasikumar, Varalaxmi Sarathkumar, Soori"
788,Naan Rudhran,Action,A man seeks justice for his family’s murder.,S Kathiresan,"Raghava Lawrence, Priya Bhavani Shankar, Sarathkumar"
789,Thoongavanam 2,Action Thriller,A cop’s mission to stop a drug cartel.,Rajesh M Selva,"Kamal Haasan, Trisha Krishnan, Prakash Raj"
